# x, diffusivity, rel diff, damping coeff
2.540148925781250000e+03,1.997404270542463785e-06,1.297864728768062248e-01,6.714845944024669944e-01
2.549330322265625000e+03,1.997383335070319759e-06,1.308332464840075149e-01,6.727381874654130289e-01
2.560391845703125000e+03,1.997357715713669895e-06,1.321142143165007221e-01,6.742412213924200426e-01
2.569646484375000000e+03,1.997335782272863950e-06,1.332108863567979806e-01,6.754927543369966259e-01
2.580796142578125000e+03,1.997308349396390272e-06,1.345825301804818575e-01,6.769934661647456497e-01
2.590124267578125000e+03,1.997285542095648007e-06,1.357228952175951187e-01,6.782429789976234247e-01
2.599486328125000000e+03,1.997261192015411515e-06,1.369403992294197514e-01,6.794915326989884319e-01
2.610765625000000000e+03,1.997231063671153162e-06,1.384468164423373615e-01,6.809885006210025793e-01
2.620202148437500000e+03,1.997205947989249134e-06,1.397026005375387736e-01,6.822349302999072274e-01
2.629672851562500000e+03,1.997179653387316727e-06,1.410173306341591382e-01,6.834803379363059150e-01
2.639177734375000000e+03,1.997152808169122021e-06,1.423595915438944093e-01,6.847245880213901348e-01
2.650628906250000000e+03,1.997119405425777937e-06,1.440297287110986479e-01,6.862164020214258642e-01
2.660209716796875000e+03,1.997090755661156580e-06,1.454622169421664890e-01,6.874583786374441896e-01
2.669824707031250000e+03,1.997062073362072988e-06,1.468963318963460996e-01,6.886993783381041290e-01
2.679474853515625000e+03,1.997032119668446896e-06,1.483940165776506670e-01,6.899391170951005847e-01
2.689159667968750000e+03,1.997001404460462052e-06,1.499297769768929145e-01,6.911779443574175286e-01
2.700827880859375000e+03,1.996963768870750260e-06,1.518115564624825109e-01,6.926628125353045951e-01
2.710589599609375000e+03,1.996931406851828100e-06,1.534296574085904918e-01,6.938989464732878698e-01
2.720386962890625000e+03,1.996898455870791693e-06,1.550772064604108158e-01,6.951339745701479167e-01
2.730219482421875000e+03,1.996864752415686853e-06,1.567623792156528362e-01,6.963678278196792082e-01
2.740087890625000000e+03,1.996829726789181583e-06,1.585136605409163679e-01,6.976003301032988047e-01
2.749991455078125000e+03,1.996794862161993235e-06,1.602568919003337644e-01,6.988317792691005614e-01
2.759930908203125000e+03,1.996758690469493799e-06,1.620654765253055074e-01,7.000618107670804058e-01
2.769906738281250000e+03,1.996721306311104483e-06,1.639346844447713558e-01,7.012906559162701559e-01
2.779918212890625000e+03,1.996683935667442629e-06,1.658032166278639863e-01,7.025182346973311009e-01
2.789965820312500000e+03,1.996644973216941712e-06,1.677513391529098785e-01,7.037444650046551509e-01
2.800050048828125000e+03,1.996605118432935700e-06,1.697440783532104813e-01,7.049694381946810529e-01
2.810170898437500000e+03,1.996564088345441038e-06,1.717955827279435688e-01,7.061930353962337925e-01
2.820328369140625000e+03,1.996522168643342504e-06,1.738915678328702974e-01,7.074153400050177121e-01
2.830522460937500000e+03,1.996479534108334189e-06,1.760232945832860552e-01,7.086363296014935864e-01
2.840753173828125000e+03,1.996436145154495627e-06,1.781927422752141166e-01,7.098559184387862597e-01
2.851020507812500000e+03,1.996392324651319802e-06,1.803837674340053876e-01,7.110739767103808617e-01
2.859261474609375000e+03,1.996356064603804399e-06,1.821967698097755328e-01,7.120475668079542242e-01
2.869595703125000000e+03,1.996310494864416186e-06,1.844752567791861642e-01,7.132631630779158183e-01
2.879967529296875000e+03,1.996263777306922864e-06,1.868111346538522677e-01,7.144772650462083430e-01
2.890376708984375000e+03,1.996215962304314514e-06,1.892018847842698026e-01,7.156900042821721097e-01
2.900823242187500000e+03,1.996167212000443116e-06,1.916393999778396862e-01,7.169011926393769052e-01
